atmospheric_temp,soil_temp,humidity,rainfall,previous_soil_moisture,soil_moisture,future_soil_moisture,x,y
18.3,20.2,75.0,0.0,0.061,0.062,0.062,1,0
18.8,26.3,68.0,0.0,0.077,0.077,0.077,1,1
11.6,11.6,97.0,0.0,0.244,0.244,0.244,0,0
14.8,17.2,96.0,0.0,0.054,0.054,0.053,1,0
12.0,12.2,80.0,0.0,0.109,0.108,0.108,1,1
14.2,15.7,88.0,2.1,0.077,0.077,0.077,0,1
15.7,20.8,75.0,0.0,0.057,0.057,0.057,1,0
17.8,19.6,59.0,0.0,0.097,0.096,0.095,0,1
18.9,30.2,62.0,0.0,0.062,0.062,0.062,0,0
13.6,15.0,96.0,0.0,0.06,0.06,0.06,1,1
16.7,15.9,77.0,0.0,0.119,0.118,0.118,1,0
14.9,17.3,87.0,0.0,0.062,0.062,0.062,0,1
19.8,22.3,75.0,0.0,0.097,0.097,0.097,1,1
11.0,11.8,61.0,0.0,0.407,0.408,0.408,0,0
4.4,6.8,84.0,0.0,0.395,0.395,0.395,0,0
16.9,15.7,83.0,0.0,0.341,0.34,0.339,0,1
12.7,15.3,96.0,0.0,0.087,0.087,0.087,0,0
13.9,16.7,96.0,0.0,0.073,0.073,0.072,1,0
10.8,12.5,93.0,0.0,0.057,0.057,0.056,0,1
10.7,12.2,84.0,0.0,0.085,0.085,0.085,0,0
20.2,19.6,78.0,0.0,0.162,0.162,0.162,0,1
9.7,10.3,96.0,0.0,0.336,0.335,0.335,0,1
9.0,9.9,76.0,0.0,0.343,0.342,0.341,0,1
17.0,15.4,59.0,0.0,0.389,0.388,0.387,0,1
28.1,24.1,38.0,0.0,0.179,0.177,0.175,1,1
11.1,13.0,90.0,0.0,0.058,0.058,0.058,0,0
18.1,15.8,74.0,0.0,0.338,0.338,0.339,1,1
7.7,9.8,98.0,0.0,0.236,0.236,0.236,1,0
14.4,16.4,98.0,0.0,0.126,0.126,0.126,1,0
11.8,11.9,96.0,0.0,0.349,0.349,0.349,0,1
15.2,16.5,100.0,0.0,0.194,0.194,0.194,1,0
17.8,18.6,87.0,0.0,0.243,0.242,0.241,1,1
18.7,23.4,68.0,0.0,0.077,0.077,0.077,1,0
