Hour_sin,Hour_cos,Soil_Temp,Rainfall,Soil_Moisture
0.2588,0.9659,14.3,0.0,0.416
0.5,0.866,14.2,0.0,0.416
0.7071,0.7071,14.2,0.0,0.416
0.866,0.5,14.1,0.0,0.416
0.9659,0.2588,14.1,0.6,0.416
1.0,0.0,14.1,0.0,0.416
0.9659,-0.2588,14.2,0.0,0.416
0.866,-0.5,14.2,0.5,0.416
0.7071,-0.7071,14.3,4.1,0.417
0.5,-0.866,14.2,2.2,0.426
0.2588,-0.9659,14.3,0.6,0.425
0.0,-1.0,14.3,2.1,0.425
-0.2588,-0.9659,14.4,9.0,0.433
-0.5,-0.866,14.4,3.1,0.434
-0.7071,-0.7071,14.4,0.4,0.431
-0.866,-0.5,14.4,0.0,0.429
-0.9659,-0.2588,14.5,0.0,0.428
-1.0,-0.0,14.9,0.0,0.427
-0.9659,0.2588,15.6,0.0,0.426
-0.866,0.5,16.0,0.0,0.426
-0.7071,0.7071,16.8,0.0,0.425
-0.5,0.866,16.8,0.0,0.424
-0.2588,0.9659,16.5,0.0,0.423
0.0,1.0,16.3,0.0,0.423
0.2588,0.9659,15.9,0.0,0.423
0.5,0.866,15.5,0.0,0.423
0.7071,0.7071,15.1,0.0,0.423
0.866,0.5,14.3,0.0,0.423
0.9659,0.2588,13.8,0.0,0.423
1.0,0.0,13.4,0.0,0.423
0.9659,-0.2588,13.2,0.0,0.423
0.866,-0.5,12.9,0.0,0.423
0.7071,-0.7071,12.6,0.0,0.423
0.5,-0.866,12.4,0.0,0.424
0.2588,-0.9659,12.2,0.0,0.423
0.0,-1.0,12.1,0.0,0.424
-0.2588,-0.9659,11.9,0.0,0.424
-0.5,-0.866,11.8,0.0,0.424
-0.7071,-0.7071,11.8,0.0,0.424
-0.866,-0.5,12.2,0.0,0.424
-0.9659,-0.2588,12.9,0.0,0.424
-1.0,-0.0,13.7,0.0,0.424
-0.9659,0.2588,14.4,0.0,0.423
-0.866,0.5,15.2,0.0,0.423
-0.7071,0.7071,16.0,0.0,0.423
-0.5,0.866,16.1,0.0,0.422
-0.2588,0.9659,15.7,0.0,0.422
0.0,1.0,15.3,0.0,0.422
0.2588,0.9659,15.1,0.6,0.422
0.5,0.866,14.9,1.8,0.424
