,Unnamed: 0,hour_sin,hour_cos,soil_temp,rain_fall,prev_5,prev_4,prev_3,prev_2,prev_1,future_moisture
0,0,1.0,0.0,14.1,0.0,41.6,41.6,41.6,41.6,41.6,41.6
1,1,0.9659,-0.2588,14.2,0.0,41.6,41.6,41.6,41.6,41.6,41.6
2,2,0.866,-0.5,14.2,0.5,41.6,41.6,41.6,41.6,41.6,41.7
3,3,0.7071,-0.7071,14.3,4.1,41.6,41.6,41.6,41.6,41.6,42.6
4,4,0.5,-0.866,14.2,2.2,41.6,41.6,41.6,41.6,41.7,42.5
5,5,0.2588,-0.9659,14.3,0.6,41.6,41.6,41.6,41.7,42.6,42.5
6,6,0.0,-1.0,14.3,2.1,41.6,41.6,41.7,42.6,42.5,43.3
7,7,-0.2588,-0.9659,14.4,9.0,41.6,41.7,42.6,42.5,42.5,43.4
8,8,-0.5,-0.866,14.4,3.1,41.7,42.6,42.5,42.5,43.3,43.1
9,9,-0.7071,-0.7071,14.4,0.4,42.6,42.5,42.5,43.3,43.4,42.8
10,10,-0.9659,-0.2588,14.5,0.0,42.5,42.5,43.3,43.4,43.1,42.7
11,11,-1.0,-0.0,14.9,0.0,42.5,43.3,43.4,43.1,42.8,42.6
12,12,-0.9659,0.2588,15.6,0.0,43.3,43.4,43.1,42.8,42.7,42.6
13,13,-0.866,0.5,16.0,0.0,43.4,43.1,42.8,42.7,42.6,42.5
14,14,-0.7071,0.7071,16.8,0.0,43.1,42.8,42.7,42.6,42.6,42.4
15,15,-0.5,0.866,16.8,0.0,42.8,42.7,42.6,42.6,42.5,42.3
16,16,-0.2588,0.9659,16.5,0.0,42.7,42.6,42.6,42.5,42.4,42.3
17,17,0.0,1.0,16.3,0.0,42.6,42.6,42.5,42.4,42.3,42.3
18,18,0.2588,0.9659,15.9,0.0,42.6,42.5,42.4,42.3,42.3,42.3
19,19,0.5,0.866,15.5,0.0,42.5,42.4,42.3,42.3,42.3,42.3
20,20,0.7071,0.7071,15.1,0.0,42.4,42.3,42.3,42.3,42.3,42.3
21,21,0.866,0.5,14.3,0.0,42.3,42.3,42.3,42.3,42.3,42.3
22,22,0.9659,0.2588,13.8,0.0,42.3,42.3,42.3,42.3,42.3,42.3
23,23,1.0,0.0,13.4,0.0,42.3,42.3,42.3,42.3,42.3,42.3
24,24,0.9659,-0.2588,13.2,0.0,42.3,42.3,42.3,42.3,42.3,42.3
25,25,0.866,-0.5,12.9,0.0,42.3,42.3,42.3,42.3,42.3,42.3
26,26,0.7071,-0.7071,12.6,0.0,42.3,42.3,42.3,42.3,42.3,42.4
27,27,0.5,-0.866,12.4,0.0,42.3,42.3,42.3,42.3,42.3,42.3
28,28,0.2588,-0.9659,12.2,0.0,42.3,42.3,42.3,42.3,42.4,42.4
29,29,0.0,-1.0,12.1,0.0,42.3,42.3,42.3,42.4,42.3,42.4
30,30,-0.2588,-0.9659,11.9,0.0,42.3,42.3,42.4,42.3,42.4,42.4
31,31,-0.5,-0.866,11.8,0.0,42.3,42.4,42.3,42.4,42.4,42.4
32,32,-0.7071,-0.7071,11.8,0.0,42.4,42.3,42.4,42.4,42.4,42.4
33,33,-0.866,-0.5,12.2,0.0,42.3,42.4,42.4,42.4,42.4,42.4
34,34,-0.9659,-0.2588,12.9,0.0,42.4,42.4,42.4,42.4,42.4,42.4
35,35,-1.0,-0.0,13.7,0.0,42.4,42.4,42.4,42.4,42.4,42.3
36,36,-0.9659,0.2588,14.4,0.0,42.4,42.4,42.4,42.4,42.4,42.3
37,37,-0.866,0.5,15.2,0.0,42.4,42.4,42.4,42.4,42.3,42.3
38,38,-0.7071,0.7071,16.0,0.0,42.4,42.4,42.4,42.3,42.3,42.2
39,39,-0.5,0.866,16.1,0.0,42.4,42.4,42.3,42.3,42.3,42.2
40,40,-0.2588,0.9659,15.7,0.0,42.4,42.3,42.3,42.3,42.2,42.2
41,41,0.0,1.0,15.3,0.0,42.3,42.3,42.3,42.2,42.2,42.2
42,42,0.2588,0.9659,15.1,0.6,42.3,42.3,42.2,42.2,42.2,42.4
43,43,0.5,0.866,14.9,1.8,42.3,42.2,42.2,42.2,42.2,42.4
44,44,0.7071,0.7071,14.8,0.0,42.2,42.2,42.2,42.2,42.4,42.4
45,45,0.866,0.5,14.6,0.0,42.2,42.2,42.2,42.4,42.4,42.4
46,46,0.9659,0.2588,14.5,0.0,42.2,42.2,42.4,42.4,42.4,42.4
47,47,1.0,0.0,14.4,0.0,42.2,42.4,42.4,42.4,42.4,42.4
48,48,0.9659,-0.2588,14.3,0.0,42.4,42.4,42.4,42.4,42.4,42.4
49,49,0.866,-0.5,14.5,0.0,42.4,42.4,42.4,42.4,42.4,42.4
50,50,0.7071,-0.7071,14.5,0.0,42.4,42.4,42.4,42.4,42.4,42.3
51,51,0.5,-0.866,14.6,0.0,42.4,42.4,42.4,42.4,42.4,42.4
52,52,0.2588,-0.9659,14.6,0.0,42.4,42.4,42.4,42.4,42.3,42.4
53,53,0.0,-1.0,14.6,2.7,42.4,42.4,42.4,42.3,42.4,42.9
54,54,-0.2588,-0.9659,14.6,4.7,42.4,42.4,42.3,42.4,42.4,43.1
55,55,-0.5,-0.866,14.5,2.7,42.4,42.3,42.4,42.4,42.9,43.1
56,56,-0.7071,-0.7071,14.5,1.4,42.3,42.4,42.4,42.9,43.1,43.1
57,57,-0.866,-0.5,14.5,2.3,42.4,42.4,42.9,43.1,43.1,43.0
58,58,-0.9659,-0.2588,14.5,0.3,42.4,42.9,43.1,43.1,43.1,43.1
59,59,-1.0,-0.0,14.5,4.3,42.9,43.1,43.1,43.1,43.0,44.3
60,60,-0.9659,0.2588,14.4,27.7,43.1,43.1,43.1,43.0,43.1,44.6
61,61,-0.866,0.5,14.3,16.0,43.1,43.1,43.0,43.1,44.3,44.5
62,62,-0.7071,0.7071,14.6,1.6,43.1,43.0,43.1,44.3,44.6,44.2
63,63,-0.5,0.866,15.3,0.0,43.0,43.1,44.3,44.6,44.5,43.6
64,64,-0.2588,0.9659,15.6,0.0,43.1,44.3,44.6,44.5,44.2,43.4
65,65,0.0,1.0,15.6,0.0,44.3,44.6,44.5,44.2,43.6,43.2
66,66,0.2588,0.9659,15.4,0.0,44.6,44.5,44.2,43.6,43.4,43.1
67,67,0.5,0.866,15.2,0.0,44.5,44.2,43.6,43.4,43.2,43.0
68,68,0.7071,0.7071,15.1,0.0,44.2,43.6,43.4,43.2,43.1,43.0
69,69,0.866,0.5,14.8,0.0,43.6,43.4,43.2,43.1,43.0,43.0
70,70,0.9659,0.2588,14.6,0.0,43.4,43.2,43.1,43.0,43.0,43.0
71,71,1.0,0.0,14.5,0.0,43.2,43.1,43.0,43.0,43.0,43.0
72,72,0.9659,-0.2588,14.6,0.0,43.1,43.0,43.0,43.0,43.0,43.0
73,73,0.866,-0.5,14.6,0.5,43.0,43.0,43.0,43.0,43.0,43.0
74,74,0.7071,-0.7071,14.6,0.8,43.0,43.0,43.0,43.0,43.0,43.0
75,75,0.5,-0.866,14.6,0.0,43.0,43.0,43.0,43.0,43.0,43.0
76,76,0.2588,-0.9659,14.6,1.1,43.0,43.0,43.0,43.0,43.0,43.1
77,77,0.0,-1.0,14.5,0.0,43.0,43.0,43.0,43.0,43.0,43.0
78,78,-0.2588,-0.9659,14.4,0.0,43.0,43.0,43.0,43.0,43.1,43.0
79,79,-0.5,-0.866,14.3,0.0,43.0,43.0,43.0,43.1,43.0,43.0
80,80,-0.7071,-0.7071,14.1,0.0,43.0,43.0,43.1,43.0,43.0,43.0
